id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2808.png,341,512,0.9485591823781186,0.8284907642228153,0.9519803541348554,0.46136450550099484,0.9041403035890062,0.01858870741298348,0.20426569879055023
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2824.png,341,512,0.8781032269424581,0.790992041107045,0.5619392603227449,0.4317617624740606,0.8634745697139956,4.895523412566242e-05,0.12395171076059341
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2854.png,341,512,0.8991408237898981,0.9060360964282715,0.5001879960851321,0.47757097191832154,0.9188067586502128,0.03633518518643025,0.28965410590171814
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2861.png,341,512,0.7245275295046618,0.5886287863188845,0.11441311932074649,0.345605827896477,0.691211655792954,1.9774180824707285e-19,0.1701638549566269
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2862.png,340,512,0.8912963517751064,0.8341773385583804,0.5680451944581317,0.8644733368319306,0.9269602246945194,0.8019864489693418,0.18723639845848083
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2876.png,341,512,0.7279983429200256,0.5348205882200773,0.21039066014052527,0.39419491765885706,0.7883897173739635,1.1794375070704115e-07,0.2189473807811737
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2883.png,340,512,0.8928221234350023,0.8176676905879583,0.605276879909068,0.46957096887442384,0.8087576414753448,0.13038429627350293,0.0806695818901062
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2913.png,341,512,0.825423422848413,0.7519080139367226,0.3313999043738453,0.9446692004737915,0.8961287347108037,0.9932096662367793,0.2057269662618637
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2933.png,341,512,0.7523793531892864,0.6057211342387743,0.20496148399178704,0.4159859367291165,0.831971873458233,6.343318181410353e-19,0.20397470891475677
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2956.png,340,512,0.8457437010995448,0.8676830854272313,0.2692867525642277,0.5871676136072383,0.9198772948124075,0.2544579324020692,0.15549084544181824
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a2986.png,341,512,0.7600461058302581,0.7519576848637164,0.05511721183116897,0.9162444087770284,0.8632989377814136,0.9691898797726431,0.2504841387271881
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3267.png,341,512,0.8730093481620216,0.7905951477901005,0.5322920086740134,0.8490977646107829,0.9051540568070031,0.7930414724145628,0.20299872756004333
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3285.png,341,512,0.8257932364987678,0.7957388151467631,0.2693590848228385,0.888634738320983,0.9067367236252181,0.870532753016748,0.3131279945373535
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3288.png,340,512,0.8057148404581347,0.7103066426234521,0.2955480994571907,0.5770694118944589,0.823719676927124,0.3304191468617938,0.18491443991661072
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3306.png,341,512,0.8443665476434452,0.7420008894144202,0.4494389555077248,0.4829517653830547,0.873521566932994,0.09238196383311534,0.2112351506948471
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3312.png,341,512,0.8521296107051263,0.671909739874577,0.6240665116145059,0.3955827564500677,0.7911460732196105,1.9439680524902833e-05,0.22074811160564423
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3315.png,341,512,0.7834291730501618,0.7777791977057325,0.10882778364332597,0.8043721342732757,0.8467152253391287,0.7620290432074226,0.2917804419994354
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3316.png,341,512,0.9508568697507238,0.9029081893458494,0.8299614258330912,0.609157729379034,0.9338621747794889,0.28445328397857905,0.13026830554008484
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3318.png,341,512,0.9459156799073181,0.884567756714853,0.8292792602136501,0.8791879640611384,0.9228944562013741,0.8354814719209027,0.13657747209072113
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3321.png,340,512,0.8814985726369063,0.8989515714159384,0.4111341905650099,0.44392667472128045,0.8835185288910826,0.004334820551478218,0.09149068593978882
a3325,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3325-050819_154342__MG_5227.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3325.png,341,512,0.8721780786638127,0.8102035764201538,0.49478177334496065,0.48924742864549636,0.9307556997317131,0.04773915755927957,0.11262098699808121
a3337,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3337-dgw_112.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3337.png,341,512,0.7481388748495604,0.709102046727711,0.058521455480873945,0.6845755313564414,0.8169614405213916,0.5521896221914913,0.3460991382598877
a3339,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3339-_MG_7202.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3339.png,341,512,0.9026150596942311,0.7596093136971854,0.7739572944719725,0.40296670340975393,0.8059329668028342,4.400166736843997e-07,0.20539341866970062
a3341,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3341-jmac_DSC2590.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3341.png,340,512,0.8967630297205272,0.6949715982043674,0.8666538237138832,0.41215894356522803,0.8185784898076749,0.0057393973227812135,0.12423260509967804
a3344,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3344-NKIM_MG_6348.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3344.png,341,512,0.8191123199399333,0.8518776274957828,0.16779062700598452,0.41665756590948544,0.8333148356689188,2.961500520404402e-07,0.09119416773319244
a3345,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3345-20080514_105211__MG_9917.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3345.png,341,512,0.9270940115872081,0.8411995806358272,0.7820121826673362,0.4438026904035248,0.8344947251194952,0.05311065568755447,0.15520258247852325
a3351,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3351-KE_-1722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/Unpaired/a3351.png,340,512,0.9111421554244907,0.7389578653241927,0.8724273148848172,0.5255240166267261,0.748881698411046,0.30216633484240607,0.14182917773723602
