group,method,TMQI-Q,TMQI-S,TMQI-N,TMQI2-Q,TMQI2-S,TMQI2-N,NLPD,valid,expected,missing,errors
dnn,G-SemTMO,0.7623,0.8070,0.0389,0.3340,0.6510,0.0171,0.1470,395,400,5,0
dnn,Laplacianet,0.8826,0.7232,0.7372,0.4077,0.7859,0.0294,0.1975,400,400,0,0
dnn,lei21_CAN,0.8291,0.8091,0.2824,0.4729,0.7370,0.2088,0.1539,400,400,0,0
dnn,PS-TMO,0.8695,0.8043,0.5069,0.4884,0.7198,0.2570,0.1647,400,400,0,0
dnn,PUCN,0.8559,0.8171,0.4303,0.5763,0.7871,0.3655,0.1779,400,400,0,0
dnn,TMO_GAN,0.8380,0.8446,0.3035,0.5646,0.8168,0.3123,0.1552,400,400,0,0
dnn,UnCL,0.8732,0.8056,0.5367,0.5444,0.8142,0.2746,0.1781,400,400,0,0
dnn,Unpaired,0.8587,0.7786,0.5048,0.6450,0.8567,0.4333,0.1788,400,400,0,0
dnn,ZSDH,0.6823,0.5629,0.0215,0.2581,0.5161,0.0000,0.2214,400,400,0,0
tradition,Ashikhmin,0.8659,0.7764,0.5506,0.4188,0.7987,0.0390,0.1980,400,400,0,0
tradition,BestExposure(Histogram),0.8730,0.8481,0.4697,0.7395,0.8147,0.6643,0.1582,400,400,0,0
tradition,BestExposure(Mean),0.8563,0.8731,0.3516,0.5952,0.7932,0.3972,0.1477,400,400,0,0
tradition,Drago,0.9007,0.8055,0.6949,0.8196,0.8416,0.7975,0.1801,400,400,0,0
tradition,Exponential,0.8937,0.8319,0.6085,0.8896,0.8356,0.9435,0.1670,400,400,0,0
tradition,Gamma,0.8200,0.8588,0.2083,0.4833,0.7544,0.2122,0.1473,400,400,0,0
tradition,KimKautz,0.8737,0.7660,0.6113,0.4729,0.7970,0.1489,0.1985,400,400,0,0
tradition,KimKautzConsistent,0.8955,0.8334,0.6174,0.6008,0.8469,0.3547,0.1795,400,400,0,0
tradition,Lischinski,0.8976,0.8076,0.6761,0.8259,0.8360,0.8159,0.1743,400,400,0,0
tradition,Logarithmic,0.8516,0.7632,0.4962,0.3938,0.7667,0.0210,0.2046,400,400,0,0
tradition,Raman,0.8163,0.7825,0.2821,0.4206,0.7553,0.0859,0.2072,400,400,0,0
tradition,Reinhard(Global),0.8903,0.7860,0.6695,0.6710,0.8264,0.5157,0.1856,400,400,0,0
tradition,Reinhard(Local),0.8758,0.7669,0.6207,0.7038,0.8444,0.5632,0.1841,400,400,0,0
tradition,ReinhardDevlin,0.8298,0.8389,0.2741,0.4105,0.7655,0.0556,0.1798,400,400,0,0
tradition,Shibata,0.8784,0.7900,0.5994,0.4843,0.8144,0.1541,0.1897,400,400,0,0
tradition,WardHistAdj,0.8959,0.8134,0.6624,0.7291,0.8411,0.6171,0.1833,400,400,0,0
