id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2808.png,341,512,0.873957614400659,0.8365459016711422,0.46282869789185843,0.4138433139682198,0.8177827495634312,0.009903878373008289,0.21450483798980713
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2824.png,341,512,0.8388739389090687,0.7856879750937856,0.3498197519042806,0.33710717803250945,0.6741981204984528,1.623556656599217e-05,0.12370864301919937
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2854.png,341,512,0.8493481042479498,0.9027060762363665,0.2420984331942517,0.4169988013810939,0.8322793368829482,0.0017182658792396655,0.3051418364048004
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2861.png,341,512,nan,nan,0.13761130288359338,0.3519098651432772,0.7038197302853425,1.2119636599688937e-12,0.18774953484535217
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2862.png,340,512,0.9556070281064637,0.8394690406706072,0.9801399232428656,0.9068325566169333,0.8940864557503797,0.919578657483487,0.196849524974823
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2876.png,341,512,0.8349039004793242,0.48163712932586605,0.9629483134976261,0.34397469386531737,0.6681122781861956,0.019837109544439215,0.22704952955245972
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2883.png,340,512,0.8367032862873667,0.782455585113596,0.3433748401216597,0.4025284331920087,0.7455663184947109,0.059490547889306515,0.07989905774593353
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2913.png,341,512,0.8815453965197726,0.7320305695630822,0.6909060300442187,0.5025784326167992,0.8774998865206252,0.1276569787129733,0.24539081752300262
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2933.png,341,512,nan,nan,0.6649662282696943,0.2963387737383758,0.5926775474767285,2.3107179493001477e-14,0.23877745866775513
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2956.png,340,512,0.9358117311556962,0.8802743045523163,0.7697028527384542,0.9407740142405064,0.8929467395179049,0.988601288963108,0.17250369489192963
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a2986.png,341,512,0.8621286890132183,0.7287701147185763,0.5764626076547738,0.4453370872188578,0.7987498467724881,0.09192432766522753,0.2922592759132385
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3267.png,341,512,0.9286938370074911,0.8057322456812048,0.8591012351218399,0.5017179007283358,0.8685178965456957,0.13491790491097586,0.23022443056106567
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3285.png,341,512,0.9199270515593567,0.7802722504489964,0.8491672570747799,0.7530513958366796,0.8858169947091272,0.620285796964232,0.35065415501594543
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3288.png,340,512,0.8885168275743277,0.7325714360360985,0.7346788856153303,0.43764736064688964,0.8060270263352938,0.0692676949584855,0.1996162235736847
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3306.png,341,512,0.8984732322593338,0.719349386113921,0.8270301183871607,0.4343703097579436,0.8223607834397598,0.04637983607612734,0.22717177867889404
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3312.png,341,512,0.8837914217841711,0.6511306278905643,0.8742999894019214,0.34135370594435704,0.682707398747643,1.3141071142283734e-08,0.2390316128730774
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3315.png,341,512,0.8808700476480271,0.7706634242150302,0.6145889605164193,0.7241842282141426,0.8080164343523344,0.6403520220759509,0.32057809829711914
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3316.png,341,512,0.9079202906968152,0.9146898156287894,0.5384475353137894,0.4755107363186619,0.9024209545624992,0.048600518074824635,0.13947562873363495
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3318.png,341,512,0.8503532628025312,0.8758600401718735,0.2810527962002979,0.4525421089546224,0.8494740175347398,0.05561020037450492,0.13706330955028534
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/KimKautz/a3321.png,340,512,0.8604362885106975,0.8993883390491567,0.3000888213340195,0.45459581696650886,0.9091890328009484,2.6011320692621365e-06,0.11088144034147263
