id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2808.png,341,512,0.7811992212000021,0.8332484909583726,0.04858992915292793,0.31548627431216203,0.6309725486243241,1.5301133310733274e-23,0.2328145056962967
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2824.png,341,512,0.8358673027577064,0.7859415528710786,0.3338310481871335,0.3024464707921169,0.6048916710899154,1.2704943183740672e-06,0.11439452320337296
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2854.png,341,512,0.8585811701968564,0.9272307132305337,0.255664578077165,0.4265660303344035,0.8467931636178977,0.006338897050909278,0.30339547991752625
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2861.png,341,512,0.8137986784754371,0.7204350807329726,0.32054603611692517,0.3692798240148975,0.738559648029795,2.462731020878022e-21,0.15856720507144928
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2862.png,340,512,0.906526205315792,0.9080880808968106,0.5403711059123506,0.7775071009162897,0.929231701649687,0.6257825001828925,0.16849438846111298
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2876.png,341,512,0.8073501675481504,0.5629208878289395,0.5780121577963135,0.37481799783936337,0.7495580377026062,7.795797612055166e-05,0.2108002007007599
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2883.png,340,512,0.716278630266609,0.6865738176650156,0.0012993819096788568,0.2865874205707646,0.5731748411415292,4.425927287813096e-28,0.076326884329319
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2913.png,341,512,0.7492005591486282,0.7493931152635672,0.027085974946280063,0.418238280052412,0.836476560104824,5.9341256528201805e-33,0.28348830342292786
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2933.png,341,512,0.8438955322872718,0.7419719991506413,0.4468417174316496,0.38829818981703684,0.7765963796340737,1.5723976534725212e-20,0.201650932431221
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2956.png,340,512,0.7772465752199331,0.8140316583314599,0.052802716762064675,0.279731739840984,0.5594634796818458,1.220760746950389e-13,0.13278979063034058
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a2986.png,341,512,0.8639635891368795,0.7804945987146925,0.4964471434526841,0.43319902911170394,0.8663980463943617,1.182904622847335e-08,0.3055517375469208
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3267.png,341,512,0.7675038322862069,0.7763695795515061,0.0559563743333325,0.36808665689536935,0.7361733137907387,8.256221113902355e-23,0.2611066699028015
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3285.png,341,512,0.8853065676014399,0.9097105498654295,0.4165797901406959,0.594046100363341,0.8553489693396833,0.3327432313869989,0.31469815969467163
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3288.png,340,512,0.7767750783182912,0.7228336436877889,0.14668096223945168,0.35763089036175444,0.7152617807235089,2.360879304691333e-19,0.22663100063800812
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3306.png,341,512,0.8239419069316386,0.7763814011588996,0.28761933835680725,0.37890106603194884,0.7578021320638977,4.89060238111419e-21,0.25577929615974426
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3312.png,341,512,0.8537507292833765,0.7297008691703849,0.5248088591047355,0.3676838193694257,0.7353676387361803,2.6710340862081823e-12,0.23804813623428345
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3315.png,341,512,0.8306431862754352,0.8209699569032513,0.25833503885773834,0.39465862367480886,0.7739880790115113,0.01532916833810637,0.28447797894477844
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3316.png,341,512,0.8851871997057424,0.9170342666451624,0.405498237945051,0.4277776764353449,0.8386657570169519,0.01688959585373793,0.13995510339736938
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3318.png,341,512,0.7556806509805207,0.7991302761596125,0.009587213005143574,0.3418819728487396,0.6837639456974792,1.3536429345479981e-27,0.16085171699523926
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3321.png,340,512,0.9845999475407239,0.9486869982442058,0.9812649310639686,0.9516263346019196,0.9518131242037186,0.9514395450001207,0.09460457414388657
a3325,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3325-050819_154342__MG_5227.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3325.png,341,512,0.8335919617151832,0.8106343886803462,0.28678628451458127,0.37967894864348894,0.7593480561435283,9.841143449581523e-06,0.13190492987632751
a3337,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3337-dgw_112.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3337.png,341,512,0.7476209798665824,0.6974172832665434,0.06845366912650139,0.3512090154823876,0.7024180309647752,4.1457310031120445e-23,0.4167036712169647
a3339,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3339-_MG_7202.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3339.png,341,512,0.8188463221249953,0.7338705655239179,0.32542510678166264,0.3479934907249159,0.6959869814497924,3.9399959681815026e-14,0.22225040197372437
a3341,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3341-jmac_DSC2590.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3341.png,340,512,0.8914394794038061,0.8353506445305794,0.5669528364696963,0.3980073800838079,0.7960147601665387,1.0771647200860065e-12,0.09715322405099869
a3344,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3344-NKIM_MG_6348.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3344.png,341,512,0.7465467449624529,0.7479996779725586,0.02170381689698109,0.22764753604333796,0.4552950720866759,1.094446927085454e-24,0.12700501084327698
a3345,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3345-20080514_105211__MG_9917.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3345.png,341,512,0.7920122521677296,0.8676288106008344,0.0528228218929282,0.30378669756722376,0.6075733951037868,3.0660742510629406e-11,0.13609498739242554
a3351,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3351-KE_-1722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3351.png,340,512,0.8699719210624305,0.8674773739533758,0.39397167421060675,0.7023544783325304,0.8084225009351398,0.5962864557299209,0.11301366239786148
a3356,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3356-_DSC9981.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3356.png,341,512,0.8231346801113809,0.8183366459822887,0.2265398337856046,0.31185806692422885,0.6237161338484577,1.492757779413016e-18,0.21955519914627075
a3360,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3360-IMG_0017.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3360.png,341,512,0.885512735753478,0.816161225127786,0.5634872294683656,0.44405994001548904,0.8881198800309659,1.217627697202873e-14,0.23654985427856445
a3365,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3365-jn_20071207_Xmas_House_0124.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3365.png,341,512,0.8886114191995054,0.7125499091623758,0.7753493763681542,0.311924246138791,0.6238484922684429,9.139131942060948e-12,0.09556020051240921
a3366,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3366-Ja_Pe-6.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3366.png,288,512,0.8137756236929913,0.7637986090877321,0.25613598160498624,0.42643785367842174,0.8528757073568379,5.507501779308562e-15,0.27984318137168884
a3369,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3369-IMG_0004.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3369.png,341,512,0.8936002829498273,0.7815950089852015,0.6742033063504792,0.4296415763670801,0.8592831501089273,2.6252329619435378e-09,0.30794423818588257
a3371,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3371-07-12-01-at-11h32m58s-_MG_8498.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3371.png,341,512,0.7649538201075854,0.7836612469609935,0.04221011593440368,0.35855415774432353,0.7171083154886471,1.068158685667213e-20,0.26231202483177185
a3382,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3382-IMG_4032.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3382.png,341,512,0.7299164690185268,0.6903720000604499,0.024215409135174115,0.36545943528032576,0.7309188705606515,7.035979520939417e-32,0.21535111963748932
a3388,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3388-jmac_DSC2214.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3388.png,340,512,0.7662748131125486,0.786425765211627,0.043693313416159854,0.31215481941354595,0.6243096388270919,7.125332000652601e-21,0.18320602178573608
a3390,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3390-dgw_070.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3390.png,341,512,0.8051562478764523,0.694329841103444,0.3178134107385087,0.3369585980495885,0.673917196099177,9.951657664872531e-20,0.2910960912704468
a3391,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3391-050904_125814__I2E8654.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3391.png,341,512,0.8259607466198704,0.7046960239587421,0.4105872821188352,0.34833849560138247,0.696676991202482,2.829190348903397e-13,0.24071811139583588
a3393,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3393-_DSC0057.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3393.png,340,512,0.8151478878707774,0.8130161814367461,0.19723201361717657,0.4321982243121767,0.8643964486243534,5.0070424653514485e-21,0.20387908816337585
a3394,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3394-_DGW6419.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3394.png,341,512,0.8389493171256792,0.7378870817185506,0.42612132959085947,0.39181485085616985,0.7836297016958398,1.6499925973828287e-11,0.39001011848449707
a3400,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3400-07-11-04-at-17h36m14s-_MG_4004.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3400.png,341,512,0.7590600636651921,0.7309651849558882,0.0720278498064318,0.3111599416384867,0.6223198832769734,2.585061335715143e-23,0.23950834572315216
a3401,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3401-20061111_122429__E6B5415.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3401.png,341,512,0.777117153462461,0.8267037815866575,0.04206611412410122,0.3976152145457826,0.7952304290915652,4.252563241679612e-27,0.18500006198883057
a3402,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3402-jmac_DSC3153.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3402.png,340,512,0.864442467543613,0.8083424943673388,0.45361486850479926,0.4039348067031264,0.8078688242005264,7.892057264008735e-07,0.196288600564003
a3413,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3413-20041217_193556__E6B0485.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3413.png,341,512,0.8398949053702675,0.8147524844270271,0.31247397600141325,0.410267508418465,0.82053501683693,1.0490753070807897e-20,0.17137758433818817
a3414,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3414-DSC_0002.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Raman/a3414.png,340,512,0.9065941121677245,0.8820137556099299,0.582002322051585,0.45872001748129576,0.836383875222343,0.08105615974024848,0.16512417793273926
