id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2808.png,341,512,0.9133289875676253,0.8000998060848957,0.7671531283540791,0.6888339403675249,0.8407523580412912,0.5369155226937585,0.20087336003780365
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2824.png,341,512,0.8907341426927686,0.7316701751411482,0.7508873532099991,0.6189586498812213,0.7862120254975443,0.4517052742648982,0.13241347670555115
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2854.png,341,512,0.8913390444540978,0.9271804103014132,0.424903075933757,0.6272338330469118,0.9123834185829716,0.34208424751085215,0.29723548889160156
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2861.png,341,512,nan,nan,0.24026996300385317,0.34779428194501566,0.6955885638900263,5.0282363769960434e-15,0.1807805299758911
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2862.png,340,512,0.9320034474251919,0.8137474846035676,0.8662003430836916,0.8837267863442293,0.8951124389867561,0.8723411337017024,0.1886623650789261
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2876.png,341,512,nan,nan,0.21201848930382983,0.8199041151611679,0.6866066156722904,0.9532016146500455,0.26968497037887573
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2883.png,340,512,0.8429653596506921,0.8398405594375759,0.29285584253664154,0.5884491406494572,0.7320523265632041,0.44484595473571026,0.06837806105613708
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2913.png,341,512,0.8646406216198679,0.7452349700797325,0.561670186319451,0.7376432637142916,0.9028028944351957,0.5724836329933874,0.22404567897319794
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2933.png,341,512,nan,nan,0.9663266070505866,0.41511768732077614,0.7830578592234305,0.047177515418121714,0.22992175817489624
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2956.png,340,512,0.9184800867704433,0.8381629075462738,0.7311298216702342,0.7310814657041651,0.7643009752702182,0.6978619561381119,0.1734624058008194
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a2986.png,341,512,0.7745431554464889,0.718885085012811,0.14255090089204395,0.8158269246692071,0.8706461183108853,0.761007731027529,0.26636314392089844
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3267.png,341,512,0.8591016009755055,0.7721444854007679,0.48243092643714597,0.768046343836053,0.8586130756322904,0.6774796120398157,0.21338844299316406
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3285.png,341,512,0.8691590131747942,0.8046590645312193,0.4864247905322261,0.8731582271419704,0.9032685042898881,0.8430479499940526,0.3334144949913025
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3288.png,340,512,0.7651782562225811,0.6445804756612196,0.20339336297799623,0.8075499461594209,0.8209039437059841,0.7941959486128576,0.1912461817264557
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3306.png,341,512,0.8261232920738545,0.7274974644214975,0.37354330154416837,0.8970082854871386,0.8316408239566607,0.9623757470176165,0.20740129053592682
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3312.png,341,512,0.8242092903549002,0.6062112231373218,0.587159800799173,0.7232112425815829,0.7773252279978736,0.6690972571652921,0.22041389346122742
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3315.png,341,512,0.7873383035605428,0.7103638694903189,0.20833596053957196,0.8691937357531182,0.7915259083871201,0.9468615631191163,0.31096410751342773
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3316.png,341,512,0.9321070870484066,0.9222898859508416,0.6746585609573928,0.6616348429415924,0.9287428166386801,0.39452686924450464,0.12585608661174774
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3318.png,341,512,0.8921764141869343,0.8985585711125944,0.47140900753213527,0.7197453586853676,0.8206216636504611,0.6188690537202741,0.12028134614229202
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3321.png,340,512,0.954014026518219,0.9431352151643085,0.7818236962409955,0.5307213348896002,0.9365318438272922,0.12491082595190812,0.09370119124650955
a3325,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3325-050819_154342__MG_5227.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3325.png,341,512,0.8579025456812113,0.792454084499002,0.44230790374588547,0.4799854214233212,0.895398221146348,0.06457262170029433,0.10433083772659302
a3337,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3337-dgw_112.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3337.png,341,512,0.7229980876265623,0.6302618341426127,0.059468934828366,0.877502276229791,0.7803322964468413,0.9746722560127408,0.3606325089931488
a3339,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3339-_MG_7202.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/Reinhard(Local)/a3339.png,341,512,0.9235971183253027,0.7410952715520942,0.9540566470804629,0.7443383693560521,0.7935510213508554,0.6951257173612487,0.20372092723846436
