id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2808.png,341,512,0.8006037209493551,0.8749724554734035,0.07381762968338079,0.34260530537477063,0.6852106107483718,1.1695004717729036e-12,0.18925076723098755
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2824.png,341,512,0.6623494078861232,0.5344606063230325,0.00012490434443942399,0.13749395222707678,0.27498790445415355,1.9646309331402098e-56,0.07089002430438995
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2854.png,341,512,0.9004102301911502,0.9499968049031113,0.44300003102460495,0.866599644465712,0.9334415250923584,0.7997577638390655,0.2997840344905853
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2861.png,341,512,nan,nan,0.27078125711930084,0.25845053471854085,0.5169004108421387,6.585949430147375e-07,0.20515528321266174
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2862.png,340,512,0.9457834053346532,0.8846355600148952,0.8282694223075099,0.47429045375394796,0.9233380757744363,0.025242831733459592,0.18541449308395386
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2876.png,341,512,0.6961596694720945,0.6246610658866906,0.0014611829634246694,0.2763608040736395,0.552721608147279,4.3195853520645965e-41,0.16566549241542816
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2883.png,340,512,0.8001581990405296,0.8361670045742923,0.10951184884860908,0.4176118011141015,0.723943820386492,0.11127978184171103,0.06840799748897552
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2913.png,341,512,0.8746677739860871,0.8154052450153293,0.5007095141343788,0.4580831450492497,0.9156533429958333,0.0005129471026660404,0.24033276736736298
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2933.png,341,512,0.7199559423113385,0.6923848539623325,0.0035254435302089367,0.26376573778304985,0.5275314755660997,7.380193267974863e-50,0.18151512742042542
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2956.png,340,512,0.9105850523766759,0.9040755269101227,0.5709162303537438,0.38969459414200297,0.7714627748967797,0.007926413387226192,0.16623006761074066
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a2986.png,341,512,0.875889400866709,0.8485572216871773,0.4550765327569632,0.45040823786585793,0.9008161051261618,3.706055540476036e-07,0.2843552529811859
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3267.png,341,512,0.885710288417784,0.867397846774635,0.4818552472563552,0.41430711557110067,0.8283852746432963,0.0002289564989050364,0.20425327122211456
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3285.png,341,512,0.9549271742052007,0.8576085664730453,0.9405668866299661,0.5178304756951634,0.8731145191446039,0.1625464322457229,0.341220885515213
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3288.png,340,512,0.834223074653703,0.8195824501930374,0.2775258614330191,0.3919410696881149,0.7838821391766246,1.99605137544009e-10,0.1674080342054367
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3306.png,341,512,0.8144879760705861,0.8407296391336045,0.1612079740647797,0.3785969779231673,0.7571939558463346,6.615778773089578e-19,0.20731984078884125
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3312.png,341,512,0.7673867882516602,0.8438980767007608,0.008115700887974815,0.30698900422588665,0.6139780084517733,6.833258116527535e-45,0.17406050860881805
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3315.png,341,512,0.899565864615303,0.82786566319218,0.6292851924900793,0.4014590191235112,0.7947406048038789,0.008177433443143431,0.30948010087013245
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3316.png,341,512,0.8907562231003175,0.9477916842249301,0.3929408533381712,0.4371015863631373,0.8236598652753515,0.050543307450923086,0.13408365845680237
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3318.png,341,512,0.8386275430006129,0.9346501111057662,0.15798579268398422,0.40533759349989634,0.8105882685985291,8.691840126361275e-05,0.12229115515947342
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3321.png,340,512,0.9571783172919559,0.9287326271099388,0.8274178831287946,0.9544651041380359,0.9378225740202762,0.9711076342557956,0.1043720543384552
a3325,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3325-050819_154342__MG_5227.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3325.png,341,512,0.7634200397587539,0.850749730892851,0.0003538406314539629,0.2682171453356382,0.5364342906712763,1.8035706257485922e-64,0.08242727816104889
a3337,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3337-dgw_112.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3337.png,341,512,0.8373628621493896,0.8118071827874929,0.30389972443761337,0.40640388650521797,0.8127843446795933,2.342833084264715e-05,0.3510950207710266
a3339,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3339-_MG_7202.exr,/mnt/data_disk/ZQL/TIP_TMO_result/tradition/ReinhardDevlin/a3339.png,341,512,0.7754239350352763,0.8578457352660533,0.016381545763383257,0.35436271215246484,0.7087254243049297,2.366056539278295e-28,0.1802159547805786
